aaCounter,Symbol,bClosed on Date,dTransaction Type,cBooks to Open on Date,eReason,hCountry of Incorporation,'gDR CUSIP,iReport Timestamp,jDepo
   218,CSEHY,2016-01-08,DR Issuance,To Be Announced,Termination of DR Facility,Bermuda,'16941W206,2016-12-02 09:01:45.363000000,DEPO1
   219,DRGHY,2016-01-08,DR Issuance,To Be Announced,Termination of DR Facility,Germany,'26145L104,2016-12-02 09:01:45.363000000,DEPO1
   220,ONKMY,2015-12-01,DR Issuance,To Be Announced,Corporate Action,Russia,'654918101,2016-12-02 09:01:45.363000000,DEPO1
   221,JASMY,2015-11-30,DR Issuance,To Be Announced,DR Registration Limitation,Thailand,'47116Q104,2016-12-02 09:01:45.363000000,DEPO1
   222,DKSHY,2015-11-09,DR Issuance,To Be Announced,Company Request,Switzerland,'25588U100,2016-12-02 09:01:45.363000000,DEPO1
   223,GOBPY,2015-10-27,DR Issuance,To Be Announced,Suspension of Trading,United Kingdom,'37959C106,2016-12-02 09:01:45.363000000,DEPO1
   224,NWTLY,2015-09-30,DR Cancellation,To Be Announced,Suspension of Trading,Australia,'65248U207,2016-12-02 09:01:45.363000000,DEPO1
   225,NWTLY,2015-09-30,DR Issuance,To Be Announced,Suspension of Trading,Australia,'65248U207,2016-12-02 09:01:45.363000000,DEPO1
   226,DRGHY,2015-09-23,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Germany,'26145L104,2016-12-02 09:01:45.363000000,DEPO1
   227,ALCYY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Australia,'01407V108,2016-12-02 09:01:45.363000000,DEPO1
   228,QCLSY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Germany,'37952W109,2016-12-02 09:01:45.363000000,DEPO1
   229,IHLHY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Turkey,'451732101,2016-12-02 09:01:45.363000000,DEPO1
   230,KOZAY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Turkey,'50075G109,2016-12-02 09:01:45.363000000,DEPO1
   231,NEOEY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Australia,'64050U108,2016-12-02 09:01:45.363000000,DEPO1
   232,NISUY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Japan,'654620202,2016-12-02 09:01:45.363000000,DEPO1
   233,TSCUY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Singapore,'67106L105,2016-12-02 09:01:45.363000000,DEPO1
   234,PLSKY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Poland,'705879104,2016-12-02 09:01:45.363000000,DEPO1
   235,PRAGY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Germany,'73972Y106,2016-12-02 09:01:45.363000000,DEPO1
   236,TOKUY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Japan,'889144101,2016-12-02 09:01:45.363000000,DEPO1
   237,SHXWY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,China,'98419K104,2016-12-02 09:01:45.363000000,DEPO1
   238,ZCILY,2015-08-28,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Bermuda,'988763108,2016-12-02 09:01:45.363000000,DEPO1
   239,AFRNY,2015-08-19,DR Cancellation,To Be Announced,Suspension of Trading,United Kingdom,'00830F102,2016-12-02 09:01:45.363000000,DEPO1
   240,71IN,2015-08-17,DR Cancellation,To Be Announced,Suspension of Trading,Kuwait,'37948V504,2016-12-02 09:01:45.363000000,DEPO1
   241,GLOB,2015-08-17,DR Cancellation,To Be Announced,Suspension of Trading,Kuwait,'37948V603,2016-12-02 09:01:45.363000000,DEPO1
   242,AFRNY,2015-08-11,DR Issuance,To Be Announced,Suspension of Trading,United Kingdom,'00830F102,2016-12-02 09:01:45.363000000,DEPO1
   243,HGVLY,2015-07-27,DR Issuance,To Be Announced,Suspension of Trading,South Africa,'30050Y101,2016-12-02 09:01:45.363000000,DEPO1
   244,NMPRG,2015-07-02,DR Cancellation,To Be Announced,Monitor of Foreign Ownership Limitations,Marshall Islands,'63938Y100,2016-12-02 09:01:45.363000000,DEPO1
   245,NMPRG,2015-07-02,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Marshall Islands,'63938Y100,2016-12-02 09:01:45.363000000,DEPO1
   246,NMPRH,2015-07-02,DR Cancellation,To Be Announced,Monitor of Foreign Ownership Limitations,Marshall Islands,'63938Y308,2016-12-02 09:01:45.363000000,DEPO1
   247,NMPRH,2015-07-02,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Marshall Islands,'63938Y308,2016-12-02 09:01:45.363000000,DEPO1
   248,17GK,2015-06-23,DR Issuance,To Be Announced,Company Request,Russia,'58517T100,2016-12-02 09:01:45.363000000,DEPO1
   249,MFON,2015-06-23,DR Issuance,To Be Announced,Company Request,Russia,'58517T209,2016-12-02 09:01:45.363000000,DEPO1
   250,QIWI,2015-06-16,DR Issuance,To Be Announced,Certification Required,Cyprus,'74735M108,2016-12-02 09:01:45.363000000,DEPO1
   251,ASYKY,2015-06-01,DR Cancellation,To Be Announced,Monitor of Foreign Ownership Limitations,Turkey,'046494100,2016-12-02 09:01:45.363000000,DEPO1
   252,ASYKY,2015-06-01,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Turkey,'046494100,2016-12-02 09:01:45.363000000,DEPO1
   266,CCOOY,2015-04-24,DR Issuance,To Be Announced,Corporate Action,Venezuela,'15671P704,2016-12-02 09:01:45.363000000,DEPO1
   268,KMBG LX,2015-04-22,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,India,'50071Q200,2016-12-02 09:01:45.363000000,DEPO1
   269,DMXTY,2015-04-16,DR Issuance,To Be Announced,Suspension of Trading,Bermuda,'233274109,2016-12-02 09:01:45.363000000,DEPO1
   271,CSEHY,2015-01-09,DR Issuance,To Be Announced,Suspension of Trading,Bermuda,'16941W206,2016-12-02 09:01:45.363000000,DEPO1
   272,GZPFY,2014-09-12,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'36829G107,2016-12-02 09:01:45.363000000,DEPO1
   273,IRKTY,2014-09-12,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'46271W104,2016-12-02 09:01:45.363000000,DEPO1
   274,FBJSY,2014-08-25,DR Cancellation,To Be Announced,Monitor of Foreign Ownership Limitations,Ukraine,'349809103,2016-12-02 09:01:45.363000000,DEPO1
   275,FBJSY,2014-08-25,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Ukraine,'349809103,2016-12-02 09:01:45.363000000,DEPO1
   276,71IN,2014-08-14,DR Issuance,To Be Announced,Suspension of Trading,Kuwait,'37948V504,2016-12-02 09:01:45.363000000,DEPO1
   277,GLOB,2014-08-14,DR Issuance,To Be Announced,Suspension of Trading,Kuwait,'37948V603,2016-12-02 09:01:45.363000000,DEPO1
   278,AFRVY,2014-08-12,DR Issuance,To Be Announced,Suspension of Trading,South Africa,'00828W109,2016-12-02 09:01:45.363000000,DEPO1
   279,BKESY,2014-08-12,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Portugal,'059584102,2016-12-02 09:01:45.363000000,DEPO1
   280,86PN,2014-08-01,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'40637J105,2016-12-02 09:01:45.363000000,DEPO1
   281,HALS,2014-08-01,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'40637J204,2016-12-02 09:01:45.363000000,DEPO1
   282,SBER,2014-08-01,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'80585Y308,2016-12-02 09:01:45.363000000,DEPO1
   283,38LF,2014-08-01,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'80585Y407,2016-12-02 09:01:45.363000000,DEPO1
   284,36GK,2014-08-01,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'46630Q103,2016-12-02 09:01:45.363000000,DEPO1
   285,VTBR,2014-08-01,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'46630Q202,2016-12-02 09:01:45.363000000,DEPO1
   286,VEDG,2014-07-29,DR Issuance,To Be Announced,Company Request,United Kingdom,'92241T102,2016-12-02 09:01:45.363000000,DEPO1
   287,LGWXY,2014-07-28,DR Issuance,To Be Announced,Local Shares - Non Transferrable,Spain,'527261101,2016-12-02 09:01:45.363000000,DEPO1
   290,STPFQ,2013-11-13,DR Issuance,To Be Announced,Suspension of Trading,Cayman Islands,'86800C104,2016-12-02 09:01:45.363000000,DEPO1
   291,CFHS,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'14915V205,2016-12-02 09:01:45.363000000,DEPO1
   292,CPED,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'20440Y200,2016-12-02 09:01:45.363000000,DEPO1
   293,DELT,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'247629306,2016-12-02 09:01:45.363000000,DEPO1
   294,FEC,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'30733Q707,2016-12-02 09:01:45.363000000,DEPO1
   295,FARE,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'307331306,2016-12-02 09:01:45.363000000,DEPO1
   298,MSVI LX,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'619539877,2016-12-02 09:01:45.363000000,DEPO1
   300,POSD,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'73931M714,2016-12-02 09:01:45.363000000,DEPO1
   301,PRND,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'74343C872,2016-12-02 09:01:45.363000000,DEPO1
   302,REAL,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'756063400,2016-12-02 09:01:45.363000000,DEPO1
   303,RITK,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'767767148,2016-12-02 09:01:45.363000000,DEPO1
   304,SPC,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'79587U504,2016-12-02 09:01:45.363000000,DEPO1
   305,SIS,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'82706A102,2016-12-02 09:01:45.363000000,DEPO1
   306,SUPD,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'86764M403,2016-12-02 09:01:45.363000000,DEPO1
   307,TAT,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'876661406,2016-12-02 09:01:45.363000000,DEPO1
   309,WBDD,2013-11-07,DR Cancellation,To Be Announced,Certification Required,Taiwan,'972657209,2016-12-02 09:01:45.363000000,DEPO1
   311,BSPDY,2013-10-23,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Indonesia,'69368Y106,2016-12-02 09:01:45.363000000,DEPO1
   312,PTTRY,2013-10-23,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Indonesia,'69369Y105,2016-12-02 09:01:45.363000000,DEPO1
   313,XPSSY,2013-09-16,DR Issuance,To Be Announced,DR Registration Limitation,Hong Kong,'42551P109,2016-12-02 09:01:45.363000000,DEPO1
   314,SNKTY,2013-08-19,DR Cancellation,To Be Announced,Corporate Action - Capital Restructuring,United Kingdom,'45378C102,2016-12-02 09:01:45.363000000,DEPO1
   315,BFNLY,2013-08-06,DR Issuance,To Be Announced,Suspension of Trading,South Africa,'09547U104,2016-12-02 09:01:45.363000000,DEPO1
   316,PEXNY,2013-07-30,DR Issuance,To Be Announced,DR Registration Limitation,Thailand,'69364V106,2016-12-02 09:01:45.363000000,DEPO1
   319,MYPSY,2013-04-02,DR Cancellation,To Be Announced,Suspension of Trading,Cyprus,'23283N109,2016-12-02 09:01:45.363000000,DEPO1
   320,MYPSY,2013-04-02,DR Issuance,To Be Announced,Suspension of Trading,Cyprus,'23283N109,2016-12-02 09:01:45.363000000,DEPO1
   321,SNKTY,2013-03-22,DR Issuance,To Be Announced,Corporate Action - Capital Restructuring,United Kingdom,'45378C102,2016-12-02 09:01:45.363000000,DEPO1
   322,31PH,2013-03-06,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Egypt,'37953P103,2016-12-02 09:01:45.363000000,DEPO1
   323,GLTD,2013-03-06,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Egypt,'37953P202,2016-12-02 09:01:45.363000000,DEPO1
   325,OTMT,2013-03-06,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Egypt,'68555D206,2016-12-02 09:01:45.363000000,DEPO1
   326,RYAAY,2013-02-05,DR Cancellation,To Be Announced,Certification Required,Ireland,'783513203,2016-12-02 09:01:45.363000000,DEPO1
   327,SBER,2013-02-05,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'80585Y308,2016-12-02 09:01:45.363000000,DEPO1
   328,38LF,2013-02-05,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'80585Y407,2016-12-02 09:01:45.363000000,DEPO1
   332,PRND,2012-10-22,DR Cancellation,To Be Announced,Suspension of Trading,Taiwan,'74343C872,2016-12-02 09:01:45.363000000,DEPO1
   333,PRND,2012-10-22,DR Issuance,To Be Announced,Suspension of Trading,Taiwan,'74343C872,2016-12-02 09:01:45.363000000,DEPO1
   334,QCLSY,2012-09-28,DR Issuance,To Be Announced,Corporate Action,Germany,'37952W109,2016-12-02 09:01:45.363000000,DEPO1
   335,PEPFY,2012-09-14,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Switzerland,'716746102,2016-12-02 09:01:45.363000000,DEPO1
   336,PWOPY,2012-09-13,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,France,'25490G108,2016-12-02 09:01:45.363000000,DEPO1
